,azd7762,tissue
ACH-000534,1,lymphocyte
ACH-001498,0,lymphocyte
ACH-000545,1,urinary_tract
ACH-001617,1,lymphocyte
ACH-000470,0,colorectal
ACH-001443,0,thyroid
ACH-000981,1,blood
ACH-001642,1,lymphocyte
ACH-000652,0,pancreas
ACH-001400,1,cervix
ACH-000660,1,lymphocyte
ACH-001549,0,lung
ACH-001442,0,cervix
ACH-001542,1,upper_aerodigestive
ACH-001702,0,soft_tissue
ACH-000958,1,colorectal
ACH-001334,1,cervix
ACH-001638,1,lymphocyte
ACH-000318,1,esophagus
ACH-001497,1,esophagus
ACH-000437,1,central_nervous_system
ACH-001653,1,gastric
ACH-000716,0,thyroid
ACH-000677,0,lung
ACH-000469,1,central_nervous_system
ACH-000991,0,colorectal
ACH-001328,0,skin
ACH-001344,0,peripheral_nervous_system
ACH-001530,0,uterus
ACH-000567,1,lymphocyte
ACH-001016,1,central_nervous_system
ACH-001402,0,cervix
ACH-001650,0,cervix
ACH-000484,0,kidney
ACH-000516,0,bone
ACH-001106,1,blood
ACH-001517,0,uterus
ACH-000949,1,gastric
ACH-000439,0,blood
ACH-001336,1,cervix
ACH-000917,1,esophagus
ACH-000489,0,colorectal
ACH-000002,0,blood
ACH-001525,0,cervix
ACH-001715,1,bone
ACH-000649,1,kidney
ACH-000970,1,colorectal
ACH-001494,0,bile_duct
ACH-000626,0,plasma_cell
ACH-000271,1,lymphocyte
ACH-001368,0,esophagus
ACH-001345,1,colorectal
ACH-001711,1,central_nervous_system
ACH-000719,0,ovary
ACH-000568,0,breast
ACH-001674,1,peripheral_nervous_system
ACH-000778,1,upper_aerodigestive
ACH-001360,0,cervix
ACH-000611,1,lymphocyte
ACH-000910,1,breast
ACH-000688,0,ovary
ACH-000452,1,esophagus
ACH-001274,1,soft_tissue
ACH-000704,0,ovary
ACH-001654,0,esophagus
ACH-000583,1,lymphocyte
ACH-000935,1,colorectal
ACH-000332,0,pancreas
ACH-000976,1,bile_duct
ACH-000428,1,kidney
ACH-001193,1,bone
ACH-001341,0,cervix
ACH-000362,1,blood
ACH-000556,0,cervix
ACH-000915,1,skin
ACH-001374,0,ovary
ACH-000948,0,gastric
ACH-001655,0,uterus
ACH-000371,0,lymphocyte
ACH-000421,0,colorectal
ACH-000714,1,plasma_cell
ACH-001333,1,cervix
ACH-000244,0,central_nervous_system
ACH-000874,1,blood
ACH-000684,0,kidney
ACH-000858,0,lung
ACH-001332,0,upper_aerodigestive
ACH-000365,1,lymphocyte
ACH-000896,1,urinary_tract
ACH-000449,1,soft_tissue
ACH-001529,1,uterus
ACH-000769,0,lung
ACH-001500,1,esophagus
ACH-000667,1,lung
ACH-000793,0,gastric
ACH-000809,0,esophagus
ACH-000863,0,central_nervous_system
ACH-000334,0,lymphocyte
ACH-001401,0,adrenal_cortex
ACH-000905,0,urinary_tract
