,bms-754807,tissue
ACH-000534,0,lymphocyte
ACH-001498,0,lymphocyte
ACH-000545,0,urinary_tract
ACH-000470,0,colorectal
ACH-001443,1,thyroid
ACH-000981,0,blood
ACH-001642,0,lymphocyte
ACH-000652,1,pancreas
ACH-001400,1,cervix
ACH-000660,1,lymphocyte
ACH-001549,1,lung
ACH-001442,1,cervix
ACH-001542,1,upper_aerodigestive
ACH-001702,1,soft_tissue
ACH-000958,1,colorectal
ACH-000772,1,soft_tissue
ACH-001334,0,cervix
ACH-001638,0,lymphocyte
ACH-000318,1,esophagus
ACH-000437,1,central_nervous_system
ACH-000716,1,thyroid
ACH-000677,1,lung
ACH-000469,0,central_nervous_system
ACH-000991,0,colorectal
ACH-001328,1,skin
ACH-001344,1,peripheral_nervous_system
ACH-001530,0,uterus
ACH-000567,1,lymphocyte
ACH-001016,0,central_nervous_system
ACH-001402,0,cervix
ACH-001650,1,cervix
ACH-000484,1,kidney
ACH-000516,1,bone
ACH-001106,0,blood
ACH-001517,0,uterus
ACH-000949,0,gastric
ACH-000439,0,blood
ACH-001336,0,cervix
ACH-000489,0,colorectal
ACH-000002,1,blood
ACH-001525,0,cervix
ACH-001715,0,bone
ACH-000197,0,blood
ACH-000649,1,kidney
ACH-000970,0,colorectal
ACH-001494,1,bile_duct
ACH-001345,1,colorectal
ACH-001711,1,central_nervous_system
ACH-000568,0,breast
ACH-001674,1,peripheral_nervous_system
ACH-000778,1,upper_aerodigestive
ACH-001360,0,cervix
ACH-000611,0,lymphocyte
ACH-000910,0,breast
ACH-000452,1,esophagus
ACH-001274,1,soft_tissue
ACH-000704,0,ovary
ACH-000583,0,lymphocyte
ACH-000935,0,colorectal
ACH-000332,0,pancreas
ACH-000976,1,bile_duct
ACH-000428,0,kidney
ACH-001193,1,bone
ACH-001341,0,cervix
ACH-000362,1,blood
ACH-000556,0,cervix
ACH-000915,1,skin
ACH-001374,1,ovary
ACH-000948,0,gastric
ACH-001655,0,uterus
ACH-000371,0,lymphocyte
ACH-000421,0,colorectal
ACH-001333,0,cervix
ACH-000244,1,central_nervous_system
ACH-000874,1,blood
ACH-000684,0,kidney
ACH-001332,0,upper_aerodigestive
ACH-000365,0,lymphocyte
ACH-000896,0,urinary_tract
ACH-000449,1,soft_tissue
ACH-001529,0,uterus
ACH-000769,1,lung
ACH-000667,1,lung
ACH-000809,1,esophagus
ACH-000863,1,central_nervous_system
ACH-000334,0,lymphocyte
ACH-001401,0,adrenal_cortex
ACH-000905,1,urinary_tract
ACH-000855,1,esophagus
ACH-000674,0,gastric
ACH-000335,0,lung
ACH-000631,1,central_nervous_system
ACH-000943,0,colorectal
ACH-000336,0,blood
ACH-001399,1,colorectal
ACH-000806,0,lymphocyte
ACH-000432,1,blood
ACH-000552,1,colorectal
ACH-000750,0,skin
ACH-000601,1,pancreas
ACH-000997,0,colorectal
ACH-000711,0,breast
ACH-000656,0,lymphocyte
ACH-000411,1,kidney
ACH-001086,1,cervix
ACH-000566,1,urinary_tract
ACH-000105,1,blood
ACH-000633,0,gastric
ACH-000749,1,lung
ACH-000361,1,liver
ACH-000337,1,lung
ACH-000528,1,lung
ACH-000878,0,lung
ACH-000213,0,pancreas
ACH-000754,0,lymphocyte
ACH-000971,0,colorectal
ACH-000148,0,breast
ACH-000367,1,lung
ACH-000722,1,colorectal
ACH-000650,0,skin
ACH-000384,0,urinary_tract
ACH-000212,0,breast
ACH-000569,0,lung
ACH-000581,0,gastric
ACH-000417,1,pancreas
ACH-000680,1,colorectal
ACH-000599,1,pancreas
ACH-000046,0,kidney
ACH-000979,0,prostate
ACH-000653,0,plasma_cell
ACH-000938,1,blood
ACH-000572,1,skin
ACH-000547,0,urinary_tract
ACH-000914,0,lymphocyte
ACH-000171,0,kidney
ACH-001526,0,bone
ACH-000311,1,lung
ACH-000983,0,blood
ACH-000045,1,blood
ACH-000023,0,pancreas
ACH-000755,0,breast
ACH-000768,0,breast
ACH-001307,1,thyroid
ACH-000738,1,central_nervous_system
ACH-000433,1,kidney
ACH-000752,0,lung
ACH-000380,0,plasma_cell
ACH-000751,0,blood
ACH-000881,1,skin
ACH-000987,0,skin
ACH-000430,0,ovary
ACH-000953,1,blood
ACH-000061,0,lymphocyte
ACH-000053,0,lymphocyte
ACH-000153,0,lung
ACH-000832,1,upper_aerodigestive
ACH-000120,1,peripheral_nervous_system
ACH-000481,1,lung
ACH-000668,1,breast
ACH-000664,0,lymphocyte
ACH-000403,0,colorectal
ACH-000438,0,lung
ACH-000906,0,ovary
ACH-000926,1,colorectal
ACH-000201,1,soft_tissue
ACH-000113,1,blood
ACH-000124,1,lymphocyte
ACH-000096,1,kidney
ACH-000059,1,blood
ACH-000496,1,lung
ACH-000713,0,ovary
ACH-000663,1,ovary
ACH-000315,0,lymphocyte
ACH-000222,0,pancreas
ACH-000605,0,esophagus
ACH-000654,0,lymphocyte
ACH-000245,1,lymphocyte
ACH-000988,0,uterus
ACH-000932,0,gastric
ACH-000190,0,lymphocyte
ACH-000794,0,upper_aerodigestive
ACH-000176,0,lung
ACH-000326,0,blood
ACH-000018,0,urinary_tract
ACH-000218,1,blood
ACH-001306,1,thyroid
ACH-000488,1,esophagus
ACH-000596,1,lung
ACH-000232,0,central_nervous_system
ACH-000294,1,blood
ACH-000463,1,lung
ACH-000320,1,pancreas
ACH-000295,0,blood
ACH-000852,0,lung
ACH-000960,1,blood
ACH-000400,1,colorectal
ACH-000934,0,breast
ACH-000558,1,central_nervous_system
ACH-000804,1,peripheral_nervous_system
ACH-000968,0,skin
ACH-000880,1,gastric
ACH-000386,0,blood
ACH-000139,1,pancreas
ACH-000825,0,lung
ACH-000609,1,central_nervous_system
ACH-000301,0,blood
ACH-000090,0,prostate
ACH-000625,1,liver
ACH-000338,1,lymphocyte
ACH-000174,0,thyroid
ACH-000330,0,breast
ACH-000853,0,lung
ACH-000188,0,upper_aerodigestive
ACH-000323,0,central_nervous_system
ACH-000847,1,gastric
ACH-000535,1,pancreas
ACH-000810,0,skin
ACH-000007,1,colorectal
ACH-000919,1,gastric
ACH-000383,1,esophagus
ACH-000672,0,lung
ACH-000544,1,esophagus
ACH-000478,1,liver
ACH-000571,0,central_nervous_system
ACH-000108,1,pancreas
ACH-000448,0,lung
ACH-000178,0,pancreas
ACH-000989,1,colorectal
ACH-000155,0,pancreas
ACH-000927,0,breast
ACH-000106,0,lymphocyte
ACH-000657,1,ovary
ACH-000957,0,colorectal
ACH-000104,1,blood
ACH-000824,1,esophagus
ACH-000798,1,colorectal
ACH-000047,1,gastric
ACH-000242,0,urinary_tract
ACH-000865,1,esophagus
ACH-000522,0,urinary_tract
ACH-000555,0,kidney
ACH-000135,1,fibroblast
ACH-000577,0,liver
ACH-000748,1,bone
ACH-000329,1,central_nervous_system
ACH-000859,0,breast
ACH-000693,0,esophagus
ACH-000696,0,ovary
ACH-000396,1,urinary_tract
ACH-000757,1,lung
ACH-000074,0,blood
ACH-000259,1,peripheral_nervous_system
ACH-000620,0,liver
ACH-000913,0,uterus
ACH-000655,0,central_nervous_system
ACH-000911,0,gastric
ACH-000424,0,bone
ACH-000226,0,lymphocyte
ACH-000356,1,gastric
ACH-000006,0,blood
ACH-000009,0,colorectal
ACH-000200,1,central_nervous_system
ACH-000580,0,skin
ACH-000515,1,lung
ACH-000270,1,pancreas
ACH-000505,0,soft_tissue
ACH-000838,1,plasma_cell
ACH-000973,1,urinary_tract
ACH-000287,0,lymphocyte
ACH-000359,1,bone
ACH-000614,0,skin
