,pd173074,tissue
ACH-000534,1,lymphocyte
ACH-001498,1,lymphocyte
ACH-000545,0,urinary_tract
ACH-001617,1,lymphocyte
ACH-000470,0,colorectal
ACH-001443,1,thyroid
ACH-000981,1,blood
ACH-001642,1,lymphocyte
ACH-000652,0,pancreas
ACH-001400,1,cervix
ACH-000660,1,lymphocyte
ACH-001549,1,lung
ACH-001442,0,cervix
ACH-001542,1,upper_aerodigestive
ACH-001702,0,soft_tissue
ACH-000958,0,colorectal
ACH-001334,0,cervix
ACH-001638,0,lymphocyte
ACH-000318,0,esophagus
ACH-001497,0,esophagus
ACH-000437,1,central_nervous_system
ACH-001653,1,gastric
ACH-000716,0,thyroid
ACH-000677,0,lung
ACH-000469,1,central_nervous_system
ACH-000991,0,colorectal
ACH-001328,0,skin
ACH-001344,1,peripheral_nervous_system
ACH-001530,1,uterus
ACH-000567,1,lymphocyte
ACH-001016,0,central_nervous_system
ACH-001402,0,cervix
ACH-001650,0,cervix
ACH-000484,1,kidney
ACH-000516,1,bone
ACH-001106,1,blood
ACH-001517,0,uterus
ACH-000949,1,gastric
ACH-000439,1,blood
ACH-001336,0,cervix
ACH-000917,1,esophagus
ACH-000489,0,colorectal
ACH-000002,1,blood
ACH-001525,0,cervix
ACH-001715,1,bone
ACH-000649,0,kidney
ACH-000970,1,colorectal
ACH-001494,0,bile_duct
ACH-000626,1,plasma_cell
ACH-000271,1,lymphocyte
ACH-001368,1,esophagus
ACH-001345,1,colorectal
ACH-001711,1,central_nervous_system
ACH-000719,0,ovary
ACH-000568,1,breast
ACH-001674,1,peripheral_nervous_system
ACH-000778,1,upper_aerodigestive
ACH-001360,1,cervix
ACH-000611,1,lymphocyte
ACH-000910,1,breast
ACH-000688,1,ovary
ACH-000452,1,esophagus
ACH-001274,1,soft_tissue
ACH-000704,0,ovary
ACH-001654,0,esophagus
ACH-000583,1,lymphocyte
ACH-000935,1,colorectal
ACH-000332,0,pancreas
ACH-000976,0,bile_duct
ACH-000428,1,kidney
ACH-001193,1,bone
ACH-001341,0,cervix
ACH-000362,1,blood
ACH-000556,0,cervix
ACH-000915,0,skin
ACH-001374,1,ovary
ACH-000948,1,gastric
ACH-001655,0,uterus
ACH-000371,0,lymphocyte
ACH-000421,0,colorectal
ACH-000714,1,plasma_cell
ACH-001333,1,cervix
ACH-000244,0,central_nervous_system
ACH-000874,1,blood
ACH-000684,1,kidney
ACH-000858,1,lung
ACH-001332,0,upper_aerodigestive
ACH-000365,1,lymphocyte
ACH-000896,0,urinary_tract
ACH-000449,1,soft_tissue
ACH-001529,0,uterus
ACH-000769,1,lung
ACH-001500,1,esophagus
ACH-000667,1,lung
ACH-000793,1,gastric
ACH-000809,0,esophagus
ACH-000863,0,central_nervous_system
ACH-000334,1,lymphocyte
ACH-001401,1,adrenal_cortex
ACH-000905,0,urinary_tract
ACH-000855,1,esophagus
ACH-000681,0,lung
ACH-000674,0,gastric
ACH-000335,1,lung
ACH-000631,0,central_nervous_system
ACH-000943,1,colorectal
ACH-000336,1,blood
ACH-001399,0,colorectal
ACH-001496,0,esophagus
ACH-000806,1,lymphocyte
ACH-000432,1,blood
ACH-000552,0,colorectal
ACH-000750,1,skin
ACH-000601,1,pancreas
ACH-001418,0,ovary
ACH-000997,1,colorectal
ACH-000711,0,breast
ACH-000656,1,lymphocyte
ACH-000411,1,kidney
ACH-001086,1,cervix
ACH-000566,0,urinary_tract
ACH-000105,1,blood
ACH-000633,1,gastric
ACH-000749,1,lung
ACH-000361,1,liver
ACH-000337,0,lung
ACH-000528,0,lung
ACH-000827,1,skin
ACH-000878,0,lung
ACH-000213,0,pancreas
ACH-000754,1,lymphocyte
ACH-000971,1,colorectal
ACH-000148,1,breast
ACH-000367,1,lung
ACH-000722,0,colorectal
ACH-000650,1,skin
ACH-000450,1,skin
ACH-000384,1,urinary_tract
ACH-000212,0,breast
ACH-000569,1,lung
ACH-000581,1,gastric
ACH-000417,0,pancreas
ACH-000680,1,colorectal
ACH-000599,0,pancreas
ACH-000046,1,kidney
ACH-000979,0,prostate
ACH-000653,1,plasma_cell
ACH-000938,1,blood
