,sb216763,tissue
ACH-000534,1,lymphocyte
ACH-001498,1,lymphocyte
ACH-000545,1,urinary_tract
ACH-001617,1,lymphocyte
ACH-000470,1,colorectal
ACH-000981,1,blood
ACH-000652,0,pancreas
ACH-001400,1,cervix
ACH-000660,1,lymphocyte
ACH-001549,0,lung
ACH-001442,0,cervix
ACH-001542,0,upper_aerodigestive
ACH-001702,1,soft_tissue
ACH-000958,1,colorectal
ACH-001638,0,lymphocyte
ACH-000318,0,esophagus
ACH-001497,0,esophagus
ACH-000437,1,central_nervous_system
ACH-000716,0,thyroid
ACH-000677,0,lung
ACH-000469,1,central_nervous_system
ACH-000991,1,colorectal
ACH-001328,1,skin
ACH-001344,0,peripheral_nervous_system
ACH-001530,1,uterus
ACH-000567,1,lymphocyte
ACH-001016,0,central_nervous_system
ACH-000484,0,kidney
ACH-001106,1,blood
ACH-001517,1,uterus
ACH-000949,0,gastric
ACH-000439,0,blood
ACH-001336,0,cervix
ACH-000489,1,colorectal
ACH-000002,0,blood
ACH-001525,0,cervix
ACH-001715,1,bone
ACH-000649,1,kidney
ACH-000970,1,colorectal
ACH-001494,1,bile_duct
ACH-000626,1,plasma_cell
ACH-001368,0,esophagus
ACH-001345,1,colorectal
ACH-001711,1,central_nervous_system
ACH-000719,0,ovary
ACH-001674,1,peripheral_nervous_system
ACH-000778,1,upper_aerodigestive
ACH-000611,1,lymphocyte
ACH-000910,0,breast
ACH-000688,1,ovary
ACH-000452,0,esophagus
ACH-001274,1,soft_tissue
ACH-000583,1,lymphocyte
ACH-000935,1,colorectal
ACH-000332,0,pancreas
ACH-000976,0,bile_duct
ACH-000428,0,kidney
ACH-001193,0,bone
ACH-001341,0,cervix
ACH-000362,0,blood
ACH-000556,0,cervix
ACH-000915,0,skin
ACH-001374,1,ovary
ACH-000371,0,lymphocyte
ACH-000421,1,colorectal
ACH-000714,1,plasma_cell
ACH-001333,0,cervix
ACH-000244,0,central_nervous_system
ACH-000874,1,blood
ACH-000684,1,kidney
ACH-001332,0,upper_aerodigestive
ACH-000365,1,lymphocyte
ACH-000896,1,urinary_tract
ACH-001529,1,uterus
ACH-000769,0,lung
ACH-001500,0,esophagus
ACH-000667,0,lung
ACH-000793,1,gastric
ACH-000809,1,esophagus
ACH-000863,0,central_nervous_system
ACH-000334,1,lymphocyte
ACH-001401,0,adrenal_cortex
ACH-000905,1,urinary_tract
ACH-000855,1,esophagus
ACH-000681,1,lung
ACH-000674,0,gastric
ACH-000335,0,lung
ACH-000631,1,central_nervous_system
ACH-000943,1,colorectal
ACH-000336,0,blood
ACH-001399,0,colorectal
ACH-001496,1,esophagus
ACH-000806,1,lymphocyte
ACH-000432,1,blood
ACH-000552,0,colorectal
ACH-000750,0,skin
ACH-000601,1,pancreas
ACH-001418,0,ovary
ACH-000997,1,colorectal
ACH-000711,0,breast
ACH-000411,1,kidney
ACH-000566,1,urinary_tract
ACH-000105,1,blood
ACH-000633,0,gastric
ACH-000749,1,lung
ACH-000361,0,liver
ACH-000337,0,lung
ACH-000528,0,lung
ACH-000827,1,skin
ACH-000213,1,pancreas
ACH-000754,1,lymphocyte
ACH-000971,1,colorectal
ACH-000148,1,breast
ACH-000367,0,lung
ACH-000722,1,colorectal
ACH-000650,0,skin
ACH-000450,0,skin
ACH-000384,0,urinary_tract
ACH-000212,0,breast
ACH-000569,1,lung
ACH-000581,1,gastric
ACH-000417,0,pancreas
ACH-000680,0,colorectal
ACH-000599,0,pancreas
ACH-000046,0,kidney
ACH-000979,1,prostate
ACH-000653,1,plasma_cell
ACH-000263,1,blood
ACH-000938,1,blood
ACH-000572,0,skin
ACH-000547,1,urinary_tract
ACH-000914,0,lymphocyte
ACH-000171,0,kidney
ACH-001526,1,bone
ACH-000311,0,lung
ACH-000983,1,blood
ACH-000045,1,blood
ACH-000023,1,pancreas
ACH-000755,1,breast
ACH-000768,1,breast
ACH-000738,1,central_nervous_system
ACH-000433,0,kidney
ACH-000752,0,lung
ACH-000380,1,plasma_cell
ACH-000751,1,blood
ACH-000881,0,skin
ACH-000987,0,skin
ACH-000430,1,ovary
ACH-000953,1,blood
